Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
2019-06-18 14:10:00;9142.69;9149.11;9098;9110;235.7;2149184.84;9118.42
2019-06-18 14:15:00;9105.3;9141.97;9091.9;9140;133.52;1217102.73;9115.74
2019-06-18 14:20:00;9140;9156.68;9132.35;9156.68;35.13;321290.36;9145.59
2019-06-18 14:25:00;9153;9172.24;9146.66;9161;41.32;378588.08;9163.28
2019-06-18 14:30:00;9160.8;9172;9146.66;9157.5;17.89;163908.41;9159.93
2019-06-18 14:35:00;9162.15;9162.2;9122.37;9145.78;25.67;234575.1;9139.26
2019-06-18 14:40:00;9145.77;9153.96;9119.12;9147.37;28.79;262913.95;9131.09
2019-06-18 14:45:00;9147.99;9147.99;9126.5;9131.54;15.87;144934.35;9135.11
2019-06-18 14:50:00;9129.8;9138.16;9120.54;9128.91;3.91;35726.16;9127.8
2019-06-18 14:55:00;9132.41;9139.33;9112.32;9122.58;27.35;249578.98;9126.95
2019-06-18 15:00:00;9123.2;9130;9101;9120.63;17.5;159528.33;9114.33
2019-06-18 15:05:00;9118.8;9146.62;9118.8;9146.26;19.29;176135.22;9132.43
2019-06-18 15:10:00;9146.13;9146.14;9127.53;9134.94;18.58;169843.91;9139.12
2019-06-18 15:15:00;9124.02;9135.08;9082.6;9088.13;32.88;299460.74;9107.13
2019-06-18 15:20:00;9081.08;9097.24;8979;9030;255.9;2309751.24;9025.91
2019-06-18 15:25:00;9029.99;9042.28;9003.94;9025.08;42.89;386995.56;9023.68
2019-06-18 15:30:00;9021.63;9025.79;8938.2;9024.13;185.67;1666285.17;8974.5
2019-06-18 15:35:00;9019.39;9061.1;9000;9047.63;173.89;1568751.18;9021.7
2019-06-18 15:40:00;9041.88;9074.07;9041.51;9062.12;88.2;798642.53;9054.65
2019-06-18 15:45:00;9071.67;9074.11;9038.64;9038.64;40.67;368715.44;9066.1
2019-06-18 15:50:00;9040.61;9062.07;9000;9050;84.79;765769.61;9030.86
2019-06-18 15:55:00;9050;9080.73;9044.39;9080.73;41.04;371582.28;9054.7
2019-06-18 16:00:00;9075.78;9085.82;9059.01;9059.01;5.9;53596.38;9076.68
2019-06-18 16:05:00;9059.78;9065.9;9042.4;9055.41;26.26;237841.08;9057.02
2019-06-18 16:10:00;9054.07;9061.59;9032.26;9044.12;14.15;127926.22;9043.77
2019-06-18 16:15:00;9044.15;9085.56;9044.15;9067.3;22.16;200884.81;9064.49
2019-06-18 16:20:00;9067.3;9067.3;9046.95;9057.38;12.34;111739.6;9056.82
2019-06-18 16:25:00;9057.35;9065;9040.83;9057.02;23.27;210724.2;9053.86
2019-06-18 16:30:00;9051.94;9057.86;9031.99;9048.85;37.93;343059.8;9045.09
2019-06-18 16:35:00;9043.86;9062.39;9041.86;9062.36;6.57;59499.03;9051.24
2019-06-18 16:40:00;9062.36;9066.75;9031.71;9032;13.24;119615.59;9036.45
2019-06-18 16:45:00;9032.06;9043.77;9015.13;9029.9;21.85;197165.05;9022.96
2019-06-18 16:50:00;9020.46;9028.25;8997.2;9006.72;63.49;571914;9008.18
2019-06-18 16:55:00;8998.42;9010.58;8918;8996.17;178.42;1597763.96;8954.82
2019-06-18 17:00:00;8991.58;9028.9;8959.34;9010.96;41.48;373660.87;9008.29
2019-06-18 17:05:00;9005.37;9024.26;8999.59;9019.46;67.01;603411.57;9004.67
2019-06-18 17:10:00;9019.78;9028.9;9007.68;9010.58;17.63;158934.89;9014.95
2019-06-18 17:15:00;9010.58;9016.67;8970;8973.25;67.31;604259.59;8977.32
2019-06-18 17:20:00;8973.25;8995.72;8950;8972.46;47.99;430085.4;8962.8
2019-06-18 17:25:00;8959.25;8988.53;8955.76;8961.11;38.44;344791.66;8968.47
2019-06-18 17:30:00;8956.09;9006.84;8930.86;8997.42;74.72;669767.93;8963.78
2019-06-18 17:35:00;9007.2;9017.64;8988.36;9016;32.42;291955.19;9006
2019-06-18 17:40:00;9017.33;9036.88;9009.35;9018.34;23.62;213212.05;9028.15
2019-06-18 17:45:00;9018.31;9048;9018.31;9048;15.92;143865.48;9035.56
2019-06-18 17:50:00;9041.25;9069;9041.25;9058.85;41;371196.99;9053.54
2019-06-18 17:55:00;9058.85;9058.85;9036.6;9056.77;12.53;113339.75;9049.04
2019-06-18 18:00:00;9056.52;9060;9038.74;9041.68;10.97;99255.56;9044.2
2019-06-18 18:05:00;9036.65;9050.77;9030.94;9035.61;6.22;56207.47;9038.95
2019-06-18 18:10:00;9031.68;9058.21;9031.68;9054.68;14.63;132310.02;9046.46
2019-06-18 18:15:00;9058.21;9090.02;9058.21;9067.36;41.59;377367.54;9073.59
2019-06-18 18:20:00;9067;9074.13;9046.91;9057.52;10.62;96217.94;9058.36
2019-06-18 18:25:00;9057.3;9062.4;9042.3;9057;59.98;542809.09;9050.51
2019-06-18 18:30:00;9061.07;9068.85;9051.35;9060.48;12.89;116778.07;9062.71
2019-06-18 18:35:00;9060.46;9065.96;9050.97;9054.93;113.19;1025554.63;9060.39
2019-06-18 18:40:00;9054.93;9070.9;9052.92;9070;33.58;304264.33;9061.19
2019-06-18 18:45:00;9070.87;9083.49;9070.84;9083.49;60.53;549472.14;9078
2019-06-18 18:50:00;9080.34;9142.33;9078.18;9120;266.44;2425743.71;9104.36
2019-06-18 18:55:00;9120;9124.02;9103.36;9110.8;108.72;991021.41;9115.34
2019-06-18 19:00:00;9114.03;9128.65;9092.15;9127.25;92.66;843962.64;9108.47
2019-06-18 19:05:00;9120.83;9138.78;9102.09;9119.54;234.6;2139910.52;9121.41
2019-06-18 19:10:00;9119.25;9137.12;9116.27;9122.21;146.02;1332678.33;9126.86
2019-06-18 19:15:00;9121.58;9121.58;9092.51;9098.51;18.66;169819.45;9101.27
2019-06-18 19:20:00;9100.82;9116;9100;9108.47;48.48;441717.79;9110.55
2019-06-18 19:25:00;9108.21;9108.47;9097.53;9100;75.47;686865.5;9101.18
2019-06-18 19:30:00;9102.69;9116.43;9100;9116.4;3.85;35089.15;9109.88
2019-06-18 19:35:00;9116.4;9120.17;9110.23;9114.94;9.28;84612.35;9114.36
2019-06-18 19:40:00;9113.95;9118.9;9112.5;9112.5;4.54;41355.94;9113.64
2019-06-18 19:45:00;9108.93;9115.17;9100;9115.17;51.04;464730.97;9104.69
2019-06-18 19:50:00;9112.86;9114.8;9058.52;9063.26;167.72;1522888.4;9080.05
2019-06-18 19:55:00;9065.88;9075.33;9040;9075.33;124.79;1129382.59;9050.19
2019-06-18 20:00:00;9073.61;9073.64;9044;9055.47;81.34;736259.94;9051.77
2019-06-18 20:05:00;9055.47;9082.09;9055.46;9073;13.64;123671.07;9067.83
2019-06-18 20:10:00;9073.5;9100.5;9073.5;9100.5;9.34;84928.01;9095.2
2019-06-18 20:15:00;9098.45;9106.05;9090;9106.05;11.01;100122.41;9096.44
2019-06-18 20:20:00;9108.21;9140.46;9104.33;9137.99;25.18;229937.93;9131.16
2019-06-18 20:25:00;9138.82;9141.97;9131.02;9135.89;24.83;226831.92;9134.31
2019-06-18 20:30:00;9138.41;9138.41;9123.31;9133.91;9.58;87569.89;9136.94
2019-06-18 20:35:00;9133.88;9133.88;9114.96;9124.32;4.33;39545.98;9125.42
2019-06-18 20:40:00;9123.28;9123.28;9102.59;9114.9;25.63;233461.66;9109.85
2019-06-18 20:45:00;9114.9;9132.9;9111.3;9132.9;7.59;69252.86;9121.53
2019-06-18 20:50:00;9133.6;9138.55;9125.6;9125.6;12.48;113923.23;9130.99
2019-06-18 20:55:00;9135.84;9138.46;9112.11;9131.16;15.17;138422.86;9124.62
2019-06-18 21:00:00;9131.12;9131.12;9108.58;9115.36;13.58;123765.97;9111.53
2019-06-18 21:05:00;9108.37;9116.44;9090;9093.78;12.79;116367.18;9099.6
2019-06-18 21:10:00;9093.77;9104.43;9090;9104.43;26.57;241644.26;9095.66
2019-06-18 21:15:00;9104.43;9104.92;9080;9084.22;11.95;108621.37;9087.82
2019-06-18 21:20:00;9081.16;9117.87;9080;9117.12;21.89;199056.75;9093.04
2019-06-18 21:25:00;9106.06;9117.26;9100.84;9105.08;30.33;276333.38;9111.14
2019-06-18 21:30:00;9113.83;9114.8;9098.57;9098.57;1.89;17190.78;9109.05
2019-06-18 21:35:00;9098.54;9098.54;9037.63;9044.8;55.13;500205.39;9072.91
2019-06-18 21:40:00;9044.16;9081.39;9041.64;9065;19.69;178529.63;9068.62
2019-06-18 21:45:00;9065;9065;9039;9046.8;27.79;251382.72;9044.96
2019-06-18 21:50:00;9049.01;9053.08;9011;9026.72;33.9;305912.05;9023.75
2019-06-18 21:55:00;9025.42;9026.83;8996.75;9015;114.88;1035108.92;9010.06
2019-06-18 22:00:00;9015;9015;8969.41;8991.76;45.57;409597.36;8988.53
2019-06-18 22:05:00;8979.78;9018.26;8966.19;9010.15;24.1;216569.73;8985.76
2019-06-18 22:10:00;9012.85;9018.29;8981.45;9010.85;15.66;140904.23;8998.37
